director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Christopher Nolan,Kristian Van der Heyden,Alexander Michael Helisek,Russ Fega,Adventure  Drama  Science Fiction,interstellar,Kristian Van der Heyden Alexander Michael Helisek Russ Fega Christopher Nolan Adventure  Drama  Science Fiction
Christopher Nolan,Silvie Laguna,Talulah Riley,Magnus Nolan,Action  Science Fiction  Adventure,inception,Silvie Laguna Talulah Riley Magnus Nolan Christopher Nolan Action  Science Fiction  Adventure
Joss Whedon,Eric Frank,Walter Perez,Rashmi Rustagi,Science Fiction  Action  Adventure,the avengers,Eric Frank Walter Perez Rashmi Rustagi Joss Whedon Science Fiction  Action  Adventure
Christopher Nolan,Edison Chen,Will Zahrn,Buster Reeves,Action  Crime  Thriller,the dark knight,Edison Chen Will Zahrn Buster Reeves Christopher Nolan Action  Crime  Thriller
James Cameron,Haniyyah Tahirah,Sonia Yee,Sara Wilson,Action  Adventure  Fantasy  Science Fiction,avatar,Haniyyah Tahirah Sonia Yee Sara Wilson James Cameron Action  Adventure  Fantasy  Science Fiction
Tim Miller,Leslie Uggams,Stefan Kapičić,Ed Skrein,Action  Adventure  Comedy,deadpool,Leslie Uggams Stefan Kapičić Ed Skrein Tim Miller Action  Adventure  Comedy
Joe Russo,Ameenah Kaplan,Florence Kasumba,Aaron Lazar,Adventure  Action  Science Fiction,avengers: infinity war,Ameenah Kaplan Florence Kasumba Aaron Lazar Joe Russo Adventure  Action  Science Fiction
David Fincher,Brad Pitt,Tyrone R. Livingston,Peter Iacangelo,Drama  Thriller,fight club,Brad Pitt Tyrone R. Livingston Peter Iacangelo David Fincher Drama  Thriller
Frank Darabont,Bill Bolender,James Whitmore,Vincent Foster,Drama  Crime,the shawshank redemption,Bill Bolender James Whitmore Vincent Foster Frank Darabont Drama  Crime
Quentin Tarantino,Rosanna Arquette,Karen Maruyama,Glendon Rich,Thriller  Crime  Comedy,pulp fiction,Rosanna Arquette Karen Maruyama Glendon Rich Quentin Tarantino Thriller  Crime  Comedy
James Gunn,Chris Pratt,Lee Pace,Robert Firth,Action  Science Fiction  Adventure,guardians of the galaxy,Chris Pratt Lee Pace Robert Firth James Gunn Action  Science Fiction  Adventure
Robert Zemeckis,Kenneth Bevington,Grand L. Bush,John Randall,Comedy  Drama  Romance,forrest gump,Kenneth Bevington Grand L. Bush John Randall Robert Zemeckis Comedy  Drama  Romance
Chris Columbus,Jamie Waylett,Leslie Phillips,Geraldine Somerville,Adventure  Fantasy,harry potter and the philosopher's stone,Jamie Waylett Leslie Phillips Geraldine Somerville Chris Columbus Adventure  Fantasy
Jon Favreau,Jim Cramer,Garret Noël,Nicole Lindeblad,Action  Science Fiction  Adventure,iron man,Jim Cramer Garret Noël Nicole Lindeblad Jon Favreau Action  Science Fiction  Adventure
Quentin Tarantino,Cindy Mah,Amber Tamblyn,Kim Collins,Drama  Western,django unchained,Cindy Mah Amber Tamblyn Kim Collins Quentin Tarantino Drama  Western
Lana Wachowski,Michael Butcher,Robert Simper,Bill Young,Action  Science Fiction,the matrix,Michael Butcher Robert Simper Bill Young Lana Wachowski Action  Science Fiction
Todd Phillips,Rocco Luna,Rich Campbell,Zazie Beetz,Crime  Thriller  Drama,joker,Rocco Luna Rich Campbell Zazie Beetz Todd Phillips Crime  Thriller  Drama
Joe Russo,Patrick Gorman,Chris Pratt,Scarlett Johansson,Adventure  Science Fiction  Action,avengers: endgame,Patrick Gorman Chris Pratt Scarlett Johansson Joe Russo Adventure  Science Fiction  Action
Peter Jackson,Riley Brophy,Richard Maybery,Greg Lane,Adventure  Fantasy  Action,the lord of the rings: the fellowship of the ring,Riley Brophy Richard Maybery Greg Lane Peter Jackson Adventure  Fantasy  Action
James Cameron,Rocky Taylor,Mark Capri,Amy Gaipa,Drama  Romance,titanic,Rocky Taylor Mark Capri Amy Gaipa James Cameron Drama  Romance
Peter Jackson,Ali Astin,Richard Edge,Katie Jackson,Adventure  Fantasy  Action,the lord of the rings: the return of the king,Ali Astin Richard Edge Katie Jackson Peter Jackson Adventure  Fantasy  Action
Martin Scorsese,Matthew Rauch,Stefano Villabona,Bryan Burton,Crime  Drama  Comedy,the wolf of wall street,Matthew Rauch Stefano Villabona Bryan Burton Martin Scorsese Crime  Drama  Comedy
Martin Scorsese,Tom Kemp,Ruby Jerins,Jill Larson,Drama  Thriller  Mystery,shutter island,Tom Kemp Ruby Jerins Jill Larson Martin Scorsese Drama  Thriller  Mystery
Joss Whedon,Jeremy Renner,Namju Go,Mandla Gaduka,Action  Adventure  Science Fiction,avengers: age of ultron,Jeremy Renner Namju Go Mandla Gaduka Joss Whedon Action  Adventure  Science Fiction
Christopher Nolan,Joe Lipari,Daina Griffith,Kyle Patrick Brennan,Action  Crime  Drama  Thriller,the dark knight rises,Joe Lipari Daina Griffith Kyle Patrick Brennan Christopher Nolan Action  Crime  Drama  Thriller
George Miller,Megan Gale,Cass Cumerford,Christina Koch,Action  Adventure  Science Fiction,mad max: fury road,Megan Gale Cass Cumerford Christina Koch George Miller Action  Adventure  Science Fiction
Quentin Tarantino,Carlos Fidel,Volker Michalowski,Brad Pitt,Drama  Thriller  War,inglourious basterds,Carlos Fidel Volker Michalowski Brad Pitt Quentin Tarantino Drama  Thriller  War
Joe Russo,John Slattery,John Curran,Andrew Botchwey,Adventure  Action  Science Fiction,captain america: civil war,John Slattery John Curran Andrew Botchwey Joe Russo Adventure  Action  Science Fiction
Peter Jackson,Matthew J. Saville,Riley Brophy,Sam Comery,Adventure  Fantasy  Action,the lord of the rings: the two towers,Matthew J. Saville Riley Brophy Sam Comery Peter Jackson Adventure  Fantasy  Action
Chris Columbus,Les Bubb,Chris Rankin,Eleanor Columbus,Adventure  Fantasy,harry potter and the chamber of secrets,Les Bubb Chris Rankin Eleanor Columbus Chris Columbus Adventure  Fantasy
Ryan Coogler,Ashton Tyler,Danny Chung,Zenzi Williams,Action  Adventure  Science Fiction,black panther,Ashton Tyler Danny Chung Zenzi Williams Ryan Coogler Action  Adventure  Science Fiction
Pete Docter,Carter Hastings,Peter Sagal,Kaitlyn Dias,Animation  Family  Adventure  Drama  Comedy,inside out,Carter Hastings Peter Sagal Kaitlyn Dias Pete Docter Animation  Family  Adventure  Drama  Comedy
Scott Derrickson,Pat Kiernan,Guillaume Faure,Topo Wresniwiro,Fantasy  Adventure  Action,doctor strange,Pat Kiernan Guillaume Faure Topo Wresniwiro Scott Derrickson Fantasy  Adventure  Action
Shane Black,Phil Ortiz,Yvonne Zima,Ashley Hamilton,Action  Adventure  Science Fiction,iron man 3,Phil Ortiz Yvonne Zima Ashley Hamilton Shane Black Action  Adventure  Science Fiction
Gary Ross,Kate Kneeland,Amandla Stenberg,Rachel Huggins,Science Fiction  Adventure  Action  Thriller,the hunger games,Kate Kneeland Amandla Stenberg Rachel Huggins Gary Ross Science Fiction  Adventure  Action  Thriller
Jon Watts,Tom Holland,Jorge Lendeborg Jr.,Chris Adams,Action  Adventure  Science Fiction,spider-man: homecoming,Tom Holland Jorge Lendeborg Jr. Chris Adams Jon Watts Action  Adventure  Science Fiction
Alfonso Cuarón,Robbie Coltrane,Robert Hardy,Annalisa Bugliani,Adventure  Fantasy,harry potter and the prisoner of azkaban,Robbie Coltrane Robert Hardy Annalisa Bugliani Alfonso Cuarón Adventure  Fantasy
James Gunn,Terence Rosemore,Aaron Schwartz,Michelle Yeoh,Science Fiction  Adventure  Action,guardians of the galaxy vol. 2,Terence Rosemore Aaron Schwartz Michelle Yeoh James Gunn Science Fiction  Adventure  Action
David Fincher,Brad Pitt,R. Lee Ermey,Alfonso Freeman,Crime  Mystery  Thriller,se7en,Brad Pitt R. Lee Ermey Alfonso Freeman David Fincher Crime  Mystery  Thriller
Francis Ford Coppola,John Cazale,Angelo Infanti,Sonny Grosso,Drama  Crime,the godfather,John Cazale Angelo Infanti Sonny Grosso Francis Ford Coppola Drama  Crime
Joe Johnston,Neal McDonough,Stephanie Jayne Thompson,Steve Leighton,Action  Adventure  Science Fiction,captain america: the first avenger,Neal McDonough Stephanie Jayne Thompson Steve Leighton Joe Johnston Action  Adventure  Science Fiction
Christopher Nolan,Rutger Hauer,John Kazek,Earlene Bentley,Drama  Crime  Action,batman begins,Rutger Hauer John Kazek Earlene Bentley Christopher Nolan Drama  Crime  Action
Jon Favreau,Nicolas Pajon,Sam Rockwell,Timothy 'TJ' James Driscoll,Adventure  Action  Science Fiction,iron man 2,Nicolas Pajon Sam Rockwell Timothy 'TJ' James Driscoll Jon Favreau Adventure  Action  Science Fiction
Kenneth Branagh,Isaac Kappy,Juliet Lopez,Colm Feore,Adventure  Fantasy  Action,thor,Isaac Kappy Juliet Lopez Colm Feore Kenneth Branagh Adventure  Fantasy  Action
George Lucas,Burnell Tucker,Shelagh Fraser,Lorne Peterson,Adventure  Action  Science Fiction,star wars,Burnell Tucker Shelagh Fraser Lorne Peterson George Lucas Adventure  Action  Science Fiction
David Ayer,Robert B. Kennedy,Jai Courtney,Nicolas Uruena,Action  Adventure  Fantasy,suicide squad,Robert B. Kennedy Jai Courtney Nicolas Uruena David Ayer Action  Adventure  Fantasy
Gore Verbinski,Jonathan Pryce,Don LaDaga,Paul Keith,Adventure  Fantasy  Action,pirates of the caribbean: the curse of the black pearl,Jonathan Pryce Don LaDaga Paul Keith Gore Verbinski Adventure  Fantasy  Action
Mike Newell,Rupert Grint,Katie Leung,Matthew Lewis,Adventure  Fantasy,harry potter and the goblet of fire,Rupert Grint Katie Leung Matthew Lewis Mike Newell Adventure  Fantasy
Taika Waititi,Richard Green,Matt Damon,Rob Mayes,Action  Adventure  Science Fiction  Comedy,thor: ragnarok,Richard Green Matt Damon Rob Mayes Taika Waititi Action  Adventure  Science Fiction  Comedy
David Yates,Chris Rankin,Scarlett Hefner,John Hurt,Adventure  Fantasy,harry potter and the deathly hallows: part 2,Chris Rankin Scarlett Hefner John Hurt David Yates Adventure  Fantasy
Jon Watts,Willie D. Burton,Benedict Wong,B. Clutch Dunlap,Action  Adventure  Science Fiction,spider-man: no way home,Willie D. Burton Benedict Wong B. Clutch Dunlap Jon Watts Action  Adventure  Science Fiction
Robert Zemeckis,Lloyd L. Tolbert,Billy Zane,Cristen Kauffman,Adventure  Comedy  Science Fiction,back to the future,Lloyd L. Tolbert Billy Zane Cristen Kauffman Robert Zemeckis Adventure  Comedy  Science Fiction
Pete Docter,Danny Mann,David Kaye,John Cygan,Animation  Comedy  Family  Adventure,up,Danny Mann David Kaye John Cygan Pete Docter Animation  Comedy  Family  Adventure
Colin Trevorrow,Vincent D'Onofrio,William Gary Smith,Anna Talakkottur,Action  Adventure  Science Fiction  Thriller,jurassic world,Vincent D'Onofrio William Gary Smith Anna Talakkottur Colin Trevorrow Action  Adventure  Science Fiction  Thriller
Ridley Scott,Jonathan Aris,Yang Haiwen,Matt Devere,Drama  Adventure  Science Fiction,the martian,Jonathan Aris Yang Haiwen Matt Devere Ridley Scott Drama  Adventure  Science Fiction
Patty Jenkins,Emily Carey,Camilla Roholm,Freddy Elletson,Action  Adventure  Fantasy,wonder woman,Emily Carey Camilla Roholm Freddy Elletson Patty Jenkins Action  Adventure  Fantasy
Lee Unkrich,Sofía Espinosa,Daniella Garcia,Blanca Araceli,Family  Animation  Music  Adventure,coco,Sofía Espinosa Daniella Garcia Blanca Araceli Lee Unkrich Family  Animation  Music  Adventure
Peyton Reed,Joe Bucaro III,Michael A. Cook,Carol Anne Watts,Science Fiction  Action  Adventure,ant-man,Joe Bucaro III Michael A. Cook Carol Anne Watts Peyton Reed Science Fiction  Action  Adventure
David Yates,Sian Thomas,Richard Macklin,Matthew Lewis,Adventure  Fantasy,harry potter and the order of the phoenix,Sian Thomas Richard Macklin Matthew Lewis David Yates Adventure  Fantasy
David Yates,Louis Cordice,Amber Evans,Tom Felton,Adventure  Fantasy,harry potter and the half-blood prince,Louis Cordice Amber Evans Tom Felton David Yates Adventure  Fantasy
Ridley Scott,João Costa Menezes,Richard Stride,Connie Nielsen,Action  Drama  Adventure,gladiator,João Costa Menezes Richard Stride Connie Nielsen Ridley Scott Action  Drama  Adventure
Chad Stahelski,Samantha Crawford,Ian McShane,Matt McColm,Action  Thriller,john wick,Samantha Crawford Ian McShane Matt McColm Chad Stahelski Action  Thriller
Sam Raimi,Rick Avery,Tobey Maguire,Erica D. Porter,Action  Science Fiction,spider-man,Rick Avery Tobey Maguire Erica D. Porter Sam Raimi Action  Science Fiction
J.J. Abrams,Kenny-Lee Mbanefo,Nigel Godrich,Tosin Cole,Adventure  Action  Science Fiction,star wars: the force awakens,Kenny-Lee Mbanefo Nigel Godrich Tosin Cole J.J. Abrams Adventure  Action  Science Fiction
Andrew Stanton,Vicki Lewis,Mickie McGowan,Caroline Kindred,Animation  Family,finding nemo,Vicki Lewis Mickie McGowan Caroline Kindred Andrew Stanton Animation  Family
James Mangold,Nayah Murphy,Clinton Roberts,Anthony N.,Action  Drama  Science Fiction,logan,Nayah Murphy Clinton Roberts Anthony N. James Mangold Action  Drama  Science Fiction
Bong Joon Ho,Lee Sun-kyun,Baek Seung-hwan,Lee Si-hoon,Comedy  Thriller  Drama,parasite,Lee Sun-kyun Baek Seung-hwan Lee Si-hoon Bong Joon Ho Comedy  Thriller  Drama
David Yates,Arben Bajraktaraj,Tom Felton,David O'Hara,Adventure  Fantasy,harry potter and the deathly hallows: part 1,Arben Bajraktaraj Tom Felton David O'Hara David Yates Adventure  Fantasy
Andy Muschietti,Ari Cohen,Janet Porter,Sonia Gascón,Horror  Thriller  Drama,it,Ari Cohen Janet Porter Sonia Gascón Andy Muschietti Horror  Thriller  Drama
Andrew Stanton,Sigourney Weaver,Mickie McGowan,Fred Willard,Animation  Family  Science Fiction,wall·e,Sigourney Weaver Mickie McGowan Fred Willard Andrew Stanton Animation  Family  Science Fiction
Peter Weir,Paul Giamatti,Angel Schmiedt,Judy Clayton,Comedy  Drama,the truman show,Paul Giamatti Angel Schmiedt Judy Clayton Peter Weir Comedy  Drama
Joe Russo,Callan Mulvey,Evan Parke,Ann Russo,Action  Adventure  Science Fiction,captain america: the winter soldier,Callan Mulvey Evan Parke Ann Russo Joe Russo Action  Adventure  Science Fiction
David Fincher,Christina Alex,David Clennon,Lisa Banes,Mystery  Thriller  Drama,gone girl,Christina Alex David Clennon Lisa Banes David Fincher Mystery  Thriller  Drama
John Lasseter,Joe Ranft,Erik von Detten,Cody Dorkin,Family  Comedy  Animation  Adventure,toy story,Joe Ranft Erik von Detten Cody Dorkin John Lasseter Family  Comedy  Animation  Adventure
David Yates,Tristan Tait,Abi Adeyemi,Anick Wiget,Fantasy  Adventure,fantastic beasts and where to find them,Tristan Tait Abi Adeyemi Anick Wiget David Yates Fantasy  Adventure
Pete Docter,Jennifer Darling,Samuel Lord Black,Danny Mann,Animation  Comedy  Family,"monsters, inc.",Jennifer Darling Samuel Lord Black Danny Mann Pete Docter Animation  Comedy  Family
Roger Allers,Nathan Lane,Niketa Calame-Harris,Brian Tochi,Family  Animation  Drama  Adventure,the lion king,Nathan Lane Niketa Calame-Harris Brian Tochi Roger Allers Family  Animation  Drama  Adventure
Peter Jackson,Lee Pace,Aidan Turner,Isaac Miller,Adventure  Fantasy  Action,the hobbit: an unexpected journey,Lee Pace Aidan Turner Isaac Miller Peter Jackson Adventure  Fantasy  Action
Alejandro González Iñárritu,Paul Young Pine,Alex Bisping,Chesley Wilson,Western  Drama  Adventure,the revenant,Paul Young Pine Alex Bisping Chesley Wilson Alejandro González Iñárritu Western  Drama  Adventure
Denis Villeneuve,Jeremy Renner,Mark Camacho,Marc-André Goulet,Drama  Science Fiction  Mystery,arrival,Jeremy Renner Mark Camacho Marc-André Goulet Denis Villeneuve Drama  Science Fiction  Mystery
David Leitch,David Cook,Brianna Hildebrand,Kodi Smit-McPhee,Action  Comedy  Adventure,deadpool 2,David Cook Brianna Hildebrand Kodi Smit-McPhee David Leitch Action  Comedy  Adventure
Frank Darabont,Van Epperson,Scotty Leavenworth,Garth Shaw,Fantasy  Drama  Crime,the green mile,Van Epperson Scotty Leavenworth Garth Shaw Frank Darabont Fantasy  Drama  Crime
Zack Snyder,Jean Ho,Henry Frost III,Tom Whalen,Action  Adventure  Fantasy,batman v superman: dawn of justice,Jean Ho Henry Frost III Tom Whalen Zack Snyder Action  Adventure  Fantasy
Stanley Kubrick,Louise Burns,Guy Standeven,Burnell Tucker,Horror  Thriller,the shining,Louise Burns Guy Standeven Burnell Tucker Stanley Kubrick Horror  Thriller
Brad Bird,Eli Fucile,Patrick Walker,Brad Bird,Action  Adventure  Animation  Family,the incredibles,Eli Fucile Patrick Walker Brad Bird Brad Bird Action  Adventure  Animation  Family
Quentin Tarantino,Shun Sugata,Uma Thurman,Vivica A. Fox,Action  Crime,kill bill: vol. 1,Shun Sugata Uma Thurman Vivica A. Fox Quentin Tarantino Action  Crime
Jordan Peele,Trey Burvant,Jordan Peele,Catherine Keener,Mystery  Thriller  Horror,get out,Trey Burvant Jordan Peele Catherine Keener Jordan Peele Mystery  Thriller  Horror
Vicky Jenson,Calvin Remsberg,Peter Dennis,Vincent Cassel,Animation  Comedy  Fantasy  Adventure  Family,shrek,Calvin Remsberg Peter Dennis Vincent Cassel Vicky Jenson Animation  Comedy  Fantasy  Adventure  Family
Marc Webb,Michael Papajohn,Amanda MacDonald,Miranda LaDawn Hill,Action  Adventure  Science Fiction,the amazing spider-man,Michael Papajohn Amanda MacDonald Miranda LaDawn Hill Marc Webb Action  Adventure  Science Fiction
Brad Bird,Brad Bird,Patton Oswalt,Peter Sohn,Animation  Comedy  Family  Fantasy,ratatouille,Brad Bird Patton Oswalt Peter Sohn Brad Bird Animation  Comedy  Family  Fantasy
Francis Lawrence,Jack Quaid,Stef Dawson,Ravi Naidu,Adventure  Action  Science Fiction,the hunger games: catching fire,Jack Quaid Stef Dawson Ravi Naidu Francis Lawrence Adventure  Action  Science Fiction
Éric Toledano,Cyril Mendy,Alain Anthony,Yun-Ping He,Drama  Comedy,the intouchables,Cyril Mendy Alain Anthony Yun-Ping He Éric Toledano Drama  Comedy
M. Night Shyamalan,John Jillard Sr.,Junnie Lopez,Peter Patrikios,Horror  Thriller,split,John Jillard Sr. Junnie Lopez Peter Patrikios M. Night Shyamalan Horror  Thriller
Alan Taylor,Brett Tucker,Richard Brake,Chris Evans,Action  Adventure  Fantasy,thor: the dark world,Brett Tucker Richard Brake Chris Evans Alan Taylor Action  Adventure  Fantasy
Irvin Kershner,Ian Liston,Jason Wingreen,Burnell Tucker,Adventure  Action  Science Fiction,the empire strikes back,Ian Liston Jason Wingreen Burnell Tucker Irvin Kershner Adventure  Action  Science Fiction
Hayao Miyazaki,Noriko Kitou,Mayumi Saco,Sonoko Soeda,Animation  Family  Fantasy,spirited away,Noriko Kitou Mayumi Saco Sonoko Soeda Hayao Miyazaki Animation  Family  Fantasy
Wes Ball,Duane Cothren,Chris Sheffield,Dustin Guitreau,Action  Mystery  Science Fiction  Thriller,the maze runner,Duane Cothren Chris Sheffield Dustin Guitreau Wes Ball Action  Mystery  Science Fiction  Thriller
Damien Chazelle,Melinda Sullivan,Shannon Leann,Denzel Chisolm,Comedy  Drama  Romance,la la land,Melinda Sullivan Shannon Leann Denzel Chisolm Damien Chazelle Comedy  Drama  Romance
Morten Tyldum,James Northcote,Charles Dance,Tuppence Middleton,History  Drama  Thriller  War,the imitation game,James Northcote Charles Dance Tuppence Middleton Morten Tyldum History  Drama  Thriller  War
Todd Phillips,Jessica Simons,David Hill,Constance Broge,Comedy,the hangover,Jessica Simons David Hill Constance Broge Todd Phillips Comedy
Rich Moore,John Lavelle,Bradford Simonsen,Zach King,Animation  Adventure  Family  Comedy,zootopia,John Lavelle Bradford Simonsen Zach King Rich Moore Animation  Adventure  Family  Comedy
Jonathan Demme,Danny Darst,Chris Isaak,Jim Roche,Crime  Thriller  Drama,the silence of the lambs,Danny Darst Chris Isaak Jim Roche Jonathan Demme Crime  Thriller  Drama
Matthew Vaughn,Edward Holcroft,Paul Kennington,Daniel Chapple,Crime  Comedy  Action  Adventure,kingsman: the secret service,Edward Holcroft Paul Kennington Daniel Chapple Matthew Vaughn Crime  Comedy  Action  Adventure
Bryan Singer,Rami Malek,Leila Crerar,Michelle Duncan,Music  Drama,bohemian rhapsody,Rami Malek Leila Crerar Michelle Duncan Bryan Singer Music  Drama
Steven Spielberg,Tom Mishler,BD Wong,Whit Hertford,Adventure  Science Fiction,jurassic park,Tom Mishler BD Wong Whit Hertford Steven Spielberg Adventure  Science Fiction
Chris Buck,David Boat,Chris Williams,Jackie Gonneau,Animation  Family  Adventure  Fantasy,frozen,David Boat Chris Williams Jackie Gonneau Chris Buck Animation  Family  Adventure  Fantasy
Christopher Nolan,Constantin Balsan,Matthew Marsh,Bradley Hall,War  Action  Drama,dunkirk,Constantin Balsan Matthew Marsh Bradley Hall Christopher Nolan War  Action  Drama
Christopher Nolan,Johnny Liska,Edward Hibbert,Inna Swann,Drama  Mystery  Science Fiction,the prestige,Johnny Liska Edward Hibbert Inna Swann Christopher Nolan Drama  Mystery  Science Fiction
Steven Spielberg,Edward Linde-Lubaszenko,Magdalena Dandourian,Marta Bizoń,Drama  History  War,schindler's list,Edward Linde-Lubaszenko Magdalena Dandourian Marta Bizoń Steven Spielberg Drama  History  War
Ruben Fleischer,Zeva DuVall,Amelia Young,Vickie Eng,Science Fiction  Action,venom,Zeva DuVall Amelia Young Vickie Eng Ruben Fleischer Science Fiction  Action
Gore Verbinski,Andy Beckwith,Jack Davenport,David Zahedian,Adventure  Fantasy  Action,pirates of the caribbean: dead man's chest,Andy Beckwith Jack Davenport David Zahedian Gore Verbinski Adventure  Fantasy  Action
Steven Spielberg,Valerie Colgan,Paul Hickey,Kathleen Byron,War  Drama  History,saving private ryan,Valerie Colgan Paul Hickey Kathleen Byron Steven Spielberg War  Drama  History
Rodney Rothman,Bridget Hoffman,Liev Schreiber,Post Malone,Animation  Action  Adventure  Science Fiction,spider-man: into the spider-verse,Bridget Hoffman Liev Schreiber Post Malone Rodney Rothman Animation  Action  Adventure  Science Fiction
Luc Besson,Scarlett Johansson,Wolfgang Pissors,Liu Hsieh-Min,Action  Science Fiction,lucy,Scarlett Johansson Wolfgang Pissors Liu Hsieh-Min Luc Besson Action  Science Fiction
Steven Spielberg,Patrice Dussault,Simon Houle-Gauthier,Evis Xheneti,Drama  Crime,catch me if you can,Patrice Dussault Simon Houle-Gauthier Evis Xheneti Steven Spielberg Drama  Crime
Jon Watts,Mari Alexandrova,Zoha Rahman,Numan Acar,Action  Adventure  Science Fiction,spider-man: far from home,Mari Alexandrova Zoha Rahman Numan Acar Jon Watts Action  Adventure  Science Fiction
Richard Marquand,Jason Wingreen,Lynne Hazelden,Nicholas Read,Adventure  Action  Science Fiction,return of the jedi,Jason Wingreen Lynne Hazelden Nicholas Read Richard Marquand Adventure  Action  Science Fiction
Steven Spielberg,Stephen Mitchell,Ben Mendelsohn,Philip Zhao,Adventure  Action  Science Fiction,ready player one,Stephen Mitchell Ben Mendelsohn Philip Zhao Steven Spielberg Adventure  Action  Science Fiction
Edgar Wright,Jeff Chase,Wilbur Fitzgerald,Duke Jackson,Action  Crime,baby driver,Jeff Chase Wilbur Fitzgerald Duke Jackson Edgar Wright Action  Crime
Francis Lawrence,Will Smith,Hannah Sim,Joanna Numata,Drama  Science Fiction  Thriller,i am legend,Will Smith Hannah Sim Joanna Numata Francis Lawrence Drama  Science Fiction  Thriller
Ryan Fleck,Lee Pace,Diana Toshiko,Harriet L. Ophuls,Action  Adventure  Science Fiction,captain marvel,Lee Pace Diana Toshiko Harriet L. Ophuls Ryan Fleck Action  Adventure  Science Fiction
Francis Lawrence,Stef Dawson,Michael Garza,Jackson Mizell,Science Fiction  Adventure  Thriller,the hunger games: mockingjay - part 1,Stef Dawson Michael Garza Jackson Mizell Francis Lawrence Science Fiction  Adventure  Thriller
Louis Leterrier,Isla Fisher,Jaren Mitchell,Caleb Michaelson,Thriller  Crime,now you see me,Isla Fisher Jaren Mitchell Caleb Michaelson Louis Leterrier Thriller  Crime
Chris Williams,Bridget Hoffman,Billy Bush,Roy Conli,Adventure  Family  Animation  Action  Comedy,big hero 6,Bridget Hoffman Billy Bush Roy Conli Chris Williams Adventure  Family  Animation  Action  Comedy
Damien Chazelle,Michael D. Cohen,Calvin C. Winbush,Jayson Blair,Drama  Music,whiplash,Michael D. Cohen Calvin C. Winbush Jayson Blair Damien Chazelle Drama  Music
Marc Forster,Ruari Cannon,Tim Berrington,Christian Wong,Action  Horror  Science Fiction  Thriller,world war z,Ruari Cannon Tim Berrington Christian Wong Marc Forster Action  Horror  Science Fiction  Thriller
Gareth Edwards,Valene Kane,Katie Sheridan,Gareth Edwards,Action  Adventure  Science Fiction,rogue one: a star wars story,Valene Kane Katie Sheridan Gareth Edwards Gareth Edwards Action  Adventure  Science Fiction
Rian Johnson,Noah Segan,Ralph Ineson,Sam Witwer,Adventure  Action  Science Fiction,star wars: the last jedi,Noah Segan Ralph Ineson Sam Witwer Rian Johnson Adventure  Action  Science Fiction
Alfonso Cuarón,Basher Savage,Orto Ignatiussen,Phaldut Sharma,Science Fiction  Thriller  Drama,gravity,Basher Savage Orto Ignatiussen Phaldut Sharma Alfonso Cuarón Science Fiction  Thriller  Drama
Sam Raimi,Jason Fiore-Ortiz,Mohammed Hassan,Lou Volpe,Action  Adventure  Science Fiction,spider-man 2,Jason Fiore-Ortiz Mohammed Hassan Lou Volpe Sam Raimi Action  Adventure  Science Fiction
Michel Gondry,Jim Carrey,Mark Ruffalo,Jane Adams,Science Fiction  Drama  Romance,eternal sunshine of the spotless mind,Jim Carrey Mark Ruffalo Jane Adams Michel Gondry Science Fiction  Drama  Romance
Bryan Singer,James Marsden,Julian Casey,Evan Peters,Action  Adventure  Science Fiction,x-men: days of future past,James Marsden Julian Casey Evan Peters Bryan Singer Action  Adventure  Science Fiction
Ridley Scott,John Hurt,Harry Dean Stanton,Ian Holm,Horror  Science Fiction,alien,John Hurt Harry Dean Stanton Ian Holm Ridley Scott Horror  Science Fiction
Zack Snyder,Gabe Darley,Carmen Lavigne,Eileen Touchie,Action  Adventure  Science Fiction,man of steel,Gabe Darley Carmen Lavigne Eileen Touchie Zack Snyder Action  Adventure  Science Fiction
Bill Condon,Adelaide Morgan,Danielle Acors,Daisy Boyles,Family  Fantasy  Romance,beauty and the beast,Adelaide Morgan Danielle Acors Daisy Boyles Bill Condon Family  Fantasy  Romance
Sam Mendes,Ian Bonar,Daniel Adegboyega,Steve Barnett,Action  Adventure  Thriller,skyfall,Ian Bonar Daniel Adegboyega Steve Barnett Sam Mendes Action  Adventure  Thriller
Tim Burton,Franziska Troegner,Danny Elfman,Eileen Essell,Adventure  Comedy  Family  Fantasy,charlie and the chocolate factory,Franziska Troegner Danny Elfman Eileen Essell Tim Burton Adventure  Comedy  Family  Fantasy
Christopher Nolan,Stephen Tobolowsky,Carrie-Anne Moss,Guy Pearce,Mystery  Thriller,memento,Stephen Tobolowsky Carrie-Anne Moss Guy Pearce Christopher Nolan Mystery  Thriller
Martin Scorsese,Richard Hughes,Amanda Lynch,Tracey Paleo,Drama  Thriller  Crime,the departed,Richard Hughes Amanda Lynch Tracey Paleo Martin Scorsese Drama  Thriller  Crime
Pierre Coffin,Kristen Wiig,James Kyson,John Hans Tester,Family  Comedy  Animation  Science Fiction  Action,despicable me,Kristen Wiig James Kyson John Hans Tester Pierre Coffin Family  Comedy  Animation  Science Fiction  Action
Luc Besson,Matt De Matt,Willi One Blood,Sonny Zito,Crime  Drama  Action,léon: the professional,Matt De Matt Willi One Blood Sonny Zito Luc Besson Crime  Drama  Action
