director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Patrick Hughes,Stuart Whelan,Ryan Reynolds,Tamara Sharpe,Action  Comedy  Crime  Thriller,the hitman's bodyguard,Stuart Whelan Ryan Reynolds Tamara Sharpe Patrick Hughes Action  Comedy  Crime  Thriller
Steven Spielberg,Red King,Claude Gilbert,Brian Turk,Drama  Science Fiction  Adventure,a.i. artificial intelligence,Red King Claude Gilbert Brian Turk Steven Spielberg Drama  Science Fiction  Adventure
David Leitch,Attila Hasznosi,Sara Natasa Szonda,Martin Angerbauer,Action  Adventure  Thriller,atomic blonde,Attila Hasznosi Sara Natasa Szonda Martin Angerbauer David Leitch Action  Adventure  Thriller
James Wong,John Hainsworth,Mark Holden,Forbes Angus,Horror,final destination,John Hainsworth Mark Holden Forbes Angus James Wong Horror
John McTiernan,Aasif Mandvi,Elvis Duran,Bill Christ,Action  Thriller,die hard: with a vengeance,Aasif Mandvi Elvis Duran Bill Christ John McTiernan Action  Thriller
Albert Hughes,Robert Powell,Ray Stevenson,Lora Martinez-Cunningham,Action  Thriller  Science Fiction,the book of eli,Robert Powell Ray Stevenson Lora Martinez-Cunningham Albert Hughes Action  Thriller  Science Fiction
Travis Knight,Kirk Baily,Vanessa Ross,Pamela Adlon,Action  Adventure  Science Fiction,bumblebee,Kirk Baily Vanessa Ross Pamela Adlon Travis Knight Action  Adventure  Science Fiction
Ron Howard,Irrfan Khan,Pasquale Corrente,Mirjam Novak,Mystery  Thriller  Action,inferno,Irrfan Khan Pasquale Corrente Mirjam Novak Ron Howard Mystery  Thriller  Action
Darren Aronofsky,Giovanni Sanseviero,McKenzie Shea,Barry Sloane,Drama  Adventure,noah,Giovanni Sanseviero McKenzie Shea Barry Sloane Darren Aronofsky Drama  Adventure
Dennis Dugan,Jackie Sandler,Ebony Jo-Ann,J.D. Donaruma,Comedy,grown ups,Jackie Sandler Ebony Jo-Ann J.D. Donaruma Dennis Dugan Comedy
Chris Columbus,Sally Field,Benne Alder,Adam Bryant,Comedy  Drama  Family,mrs. doubtfire,Sally Field Benne Alder Adam Bryant Chris Columbus Comedy  Drama  Family
Len Wiseman,Sophia Myles,Vanessa Nagy,Scott McElroy,Fantasy  Action  Thriller,underworld,Sophia Myles Vanessa Nagy Scott McElroy Len Wiseman Fantasy  Action  Thriller
Dan Scanlon,George Psarras,Kyle Bornheimer,Chris Pratt,Family  Comedy  Adventure  Animation  Fantasy,onward,George Psarras Kyle Bornheimer Chris Pratt Dan Scanlon Family  Comedy  Adventure  Animation  Fantasy
Christopher Landon,Phi Vu,Rachel Black,Jimmy Gonzáles,Comedy  Horror  Mystery,happy death day,Phi Vu Rachel Black Jimmy Gonzáles Christopher Landon Comedy  Horror  Mystery
